,Age,workclass,A,education,education-num,marital status,occupation,relation,race,sex,captial-gain,captial-loss,hours-per-week,native-country,class
107,30,1,194901,13,7,2,13,5,3,1,0,0,40,15,0
108,31,0,189265,10,9,2,3,1,3,0,0,0,40,15,0
109,42,1,124692,10,9,0,13,2,3,1,0,0,40,15,0
110,24,1,432376,8,13,2,10,0,3,1,0,0,40,15,0
111,38,1,65324,11,15,0,11,2,3,1,0,0,40,15,1
112,56,5,335605,10,9,0,2,2,3,1,0,1887,50,5,1
113,28,1,377869,3,10,0,10,4,3,0,4064,0,25,15,0
114,36,1,102864,10,9,2,12,5,3,0,0,0,40,15,0
115,53,1,95647,2,5,0,13,2,3,1,0,0,50,15,0
116,56,3,303090,3,10,0,10,2,3,1,0,0,50,15,0
117,49,0,197371,5,11,0,5,2,0,1,0,0,40,15,1
118,55,1,247552,3,10,0,10,2,3,1,0,0,56,15,0
119,22,1,102632,10,9,2,5,1,3,1,0,0,41,15,0
120,21,1,199915,3,10,2,2,5,3,0,0,0,40,15,0
121,40,1,118853,8,13,0,9,2,3,1,0,0,60,15,0
122,30,1,77143,8,13,2,9,5,0,1,0,0,40,13,0
123,29,6,267989,8,13,0,11,2,3,1,0,0,50,15,1
124,19,1,301606,3,10,2,2,5,0,1,0,0,35,15,0
125,47,1,287828,8,13,0,9,4,3,0,0,0,40,15,1
126,20,1,111697,3,10,2,3,5,3,0,0,1719,28,15,0
127,31,1,114937,4,12,0,3,2,3,1,0,0,40,15,1
128,35,8,129305,10,9,0,14,2,3,1,0,0,40,15,0
129,39,1,365739,3,10,3,5,1,3,1,0,0,40,15,0
130,28,1,69621,4,12,2,10,1,3,0,0,0,60,15,0
131,24,1,43323,10,9,2,2,1,3,0,0,1762,40,15,0
132,38,5,120985,10,9,0,5,2,3,1,4386,0,35,15,0
133,37,1,254202,8,13,0,10,2,3,1,0,0,50,15,0
134,46,1,146195,4,12,3,0,1,0,0,0,0,36,15,0
135,38,2,125933,1,14,0,11,2,3,1,0,0,40,23,1
136,43,5,56920,10,9,0,5,2,3,1,0,0,60,15,0
137,27,1,163127,5,11,0,3,4,3,0,0,0,35,15,0
138,20,1,34310,3,10,2,10,5,3,1,0,0,20,15,0
139,49,1,81973,3,10,0,5,2,4,1,0,0,40,15,1
140,61,3,66614,10,9,0,5,2,3,1,0,0,40,15,0
141,27,1,232782,3,10,2,10,5,3,0,0,0,40,15,0
142,19,1,316868,3,10,2,2,5,3,1,0,0,30,41,0
143,45,1,196584,5,11,2,11,1,3,0,0,1564,40,15,1
144,70,1,105376,3,10,2,0,0,3,1,0,0,40,15,0
145,31,1,185814,10,9,2,1,3,0,0,0,0,30,15,0
146,22,1,175374,3,10,0,2,2,3,1,0,0,24,15,0
147,36,1,108293,10,9,5,2,3,3,0,0,0,24,15,0
148,64,1,181232,13,7,0,5,2,3,1,0,2179,40,15,0
149,43,8,174662,3,10,3,14,1,3,0,0,0,40,15,0
150,47,0,186009,3,10,3,3,3,3,0,0,0,38,41,0
151,34,1,198183,10,9,2,3,1,3,0,0,0,40,15,0
152,33,1,163003,8,13,2,9,0,4,0,0,0,40,6,0
153,21,1,296158,10,9,2,5,5,3,1,0,0,35,15,0
154,52,8,252903,10,9,3,14,1,3,1,0,0,45,15,1
155,48,1,187715,10,9,0,5,2,3,1,0,0,46,15,0
156,23,1,214542,8,13,2,13,1,3,1,0,0,40,15,0
157,71,5,494223,3,10,4,10,3,0,1,0,1816,2,15,0
158,29,1,191535,10,9,3,5,1,3,1,0,0,60,15,0
159,42,1,228456,8,13,4,2,0,0,1,0,0,50,15,0
160,68,8,38317,0,2,3,14,1,3,0,0,0,20,15,0
161,25,1,252752,10,9,2,2,3,3,0,0,0,40,15,0
162,44,3,78374,1,14,3,9,3,4,0,0,0,40,15,0
163,28,1,88419,10,9,2,9,1,4,0,0,0,40,16,0
164,45,5,201080,1,14,0,10,2,3,1,0,0,40,15,1
165,36,1,207157,3,10,3,2,3,3,0,0,0,40,41,0
166,39,2,235485,4,12,2,9,1,3,1,0,0,42,15,0
167,46,6,102628,1,14,5,6,3,3,1,0,0,40,15,0
168,18,1,25828,13,7,2,13,5,3,1,0,0,16,15,0
169,66,0,54826,5,11,5,11,1,3,0,0,0,20,15,0
170,27,1,124953,10,9,2,2,1,3,1,0,1980,40,15,0
171,28,6,175325,10,9,0,6,2,3,1,0,0,40,15,0
172,51,1,96062,3,10,0,10,2,3,1,0,1977,40,15,1
173,27,1,428030,8,13,2,5,1,3,1,0,0,50,15,0
174,28,6,149624,8,13,0,11,2,3,1,0,0,40,15,1
175,27,1,253814,10,9,6,10,3,3,0,0,0,25,15,0
176,21,1,312956,10,9,2,5,5,0,1,0,0,40,15,0
177,34,1,483777,10,9,2,13,1,0,1,0,0,40,15,0
178,18,1,183930,10,9,2,2,5,3,1,0,0,12,15,0
179,33,1,37274,8,13,0,11,2,3,1,0,0,65,15,0
180,44,0,181344,3,10,0,9,2,0,1,0,0,38,15,1
181,43,1,114580,3,10,3,3,1,3,0,0,0,40,15,0
182,30,1,633742,3,10,2,5,1,0,1,0,0,45,15,0
183,40,1,286370,15,4,0,12,2,3,1,0,0,40,41,1
184,37,2,29054,3,10,0,3,2,3,1,0,0,42,15,1
185,34,1,304030,10,9,0,3,2,0,1,0,0,40,15,0
186,41,5,143129,8,13,3,9,1,3,0,0,0,40,15,0
187,53,8,135105,8,13,3,14,1,3,0,0,0,50,15,0
188,31,1,99928,1,14,0,11,4,3,0,0,0,50,15,0
189,58,6,109567,6,16,0,11,2,3,1,0,0,1,15,1
190,38,1,155222,3,10,3,12,1,0,0,0,0,28,15,0
191,24,1,159567,3,10,0,12,2,3,1,0,0,40,15,0
192,41,0,523910,8,13,0,5,2,0,1,0,0,40,15,0
193,47,1,120939,3,10,0,0,2,3,1,0,0,45,15,0
194,41,2,130760,8,13,0,0,2,3,1,0,0,24,15,0
195,23,1,197387,9,3,0,1,0,3,1,0,0,40,41,0
196,36,1,99374,3,10,3,5,1,3,1,0,0,40,15,0
197,40,2,56795,1,14,2,9,1,3,0,14084,0,55,15,1
198,35,1,138992,1,14,0,11,0,3,1,7298,0,40,15,1
199,24,5,32921,10,9,2,10,1,3,1,0,0,40,15,0
200,26,1,397317,1,14,2,11,1,3,0,0,1876,40,15,0
201,19,8,170653,10,9,2,14,5,3,1,0,0,40,34,0
202,51,1,259323,8,13,0,9,2,3,1,0,0,50,15,1
203,42,0,254817,3,10,2,11,1,3,0,0,1340,40,15,0
204,37,6,48211,10,9,3,3,3,3,0,0,0,35,15,0
205,18,1,140164,13,7,2,10,5,3,0,0,0,40,15,0
206,36,1,128757,8,13,0,2,2,0,1,7298,0,36,15,1
207,35,1,36270,10,9,3,5,1,3,1,0,0,60,15,0
208,58,3,210563,10,9,0,10,4,3,0,15024,0,35,15,1
209,17,1,65368,13,7,2,10,5,3,0,0,0,12,15,0
210,44,0,160943,10,9,0,1,2,0,1,0,0,40,15,0
211,37,1,208358,10,9,0,5,2,3,1,0,0,40,15,1
212,35,1,153790,3,10,2,10,1,2,0,0,0,40,15,0
213,60,1,85815,10,9,0,5,2,4,1,0,0,40,15,0
214,54,3,125417,15,4,0,12,2,3,1,0,0,40,15,1
215,37,1,635913,8,13,2,9,1,0,1,0,0,60,15,1
216,50,1,313321,4,12,3,10,1,3,0,0,0,40,15,0
217,38,1,182609,8,13,0,10,2,3,1,0,0,50,22,0
218,45,1,109434,8,13,0,11,2,3,1,0,0,55,15,0
219,25,1,255004,14,6,2,5,1,3,1,0,0,40,15,0
220,31,1,197860,3,10,0,13,2,3,1,0,0,40,15,0
221,64,8,187656,0,2,3,14,1,3,1,0,0,40,15,0
222,90,1,51744,10,9,2,2,1,0,1,0,2206,40,15,0
223,54,1,176681,10,9,0,3,2,0,1,0,0,20,15,0
224,53,0,140359,7,1,2,12,1,3,0,0,0,35,15,0
225,18,1,243313,10,9,2,10,5,3,0,0,0,40,15,0
226,60,8,24215,14,6,3,14,1,2,0,0,0,10,15,0
227,66,5,167687,10,9,0,7,2,3,1,1409,0,50,15,0
228,75,1,314209,5,11,5,3,1,3,0,0,0,20,17,0
229,65,1,176796,10,9,3,3,1,3,0,0,0,40,15,0
230,35,1,538583,13,7,4,1,1,0,1,3674,0,40,15,0
231,41,1,130408,10,9,3,10,3,0,0,0,0,38,15,0
232,25,1,159732,3,10,2,3,1,3,1,0,0,42,15,0
233,33,1,110978,3,10,3,5,0,1,0,0,0,40,15,0
234,28,1,76714,11,15,2,11,1,3,1,0,0,55,15,1
235,59,6,268700,10,9,0,2,2,3,1,0,0,40,15,0
236,40,6,170525,3,10,2,3,1,3,0,0,0,38,15,0
237,41,1,180138,8,13,0,9,2,3,1,0,0,50,23,1
238,38,0,115076,1,14,0,9,2,3,1,0,0,70,15,1
239,23,1,115458,10,9,2,1,5,3,1,0,0,40,15,0
240,40,1,347890,8,13,0,11,2,3,1,0,0,40,15,1
241,41,5,196001,10,9,0,2,4,3,0,0,0,20,15,0
242,24,6,273905,4,12,0,6,2,3,1,0,0,50,15,0
243,20,8,119156,3,10,2,14,5,3,1,0,0,20,15,0
244,38,1,179488,3,10,3,5,1,3,1,0,1741,40,15,0
245,56,1,203580,10,9,0,3,2,3,1,0,0,35,25,0
246,58,1,236596,10,9,0,3,2,3,1,0,0,45,15,1
247,32,1,183916,10,9,2,2,1,3,0,0,0,34,15,0
248,40,1,207578,4,12,0,0,2,3,1,0,1977,60,15,1
249,45,1,153141,10,9,0,3,2,3,1,0,0,40,25,0
250,41,1,112763,11,15,0,11,4,3,0,0,0,40,15,1
251,42,1,390781,8,13,0,3,4,0,0,0,0,40,15,0
252,59,0,171328,14,6,5,2,3,0,0,0,0,30,15,0
253,19,0,27382,3,10,2,3,5,3,1,0,0,40,15,0
254,58,1,259014,3,10,2,1,1,3,1,0,0,20,15,0
255,42,5,303044,10,9,0,7,2,4,1,0,0,40,18,1
256,20,1,117789,10,9,2,2,5,3,0,0,0,40,15,0
257,32,1,172579,10,9,4,2,1,3,0,0,0,30,15,0
258,45,1,187666,5,11,5,9,1,3,0,0,0,45,15,0
259,50,1,204518,15,4,3,5,1,3,1,0,0,40,15,0
260,36,1,150042,8,13,3,11,5,3,0,0,0,40,15,0
261,45,1,98092,10,9,0,10,2,3,1,0,0,60,15,0
262,17,1,245918,13,7,2,2,5,3,1,0,0,12,15,0
263,59,1,146013,3,10,0,10,2,3,1,4064,0,40,15,0
264,26,1,378322,13,7,0,5,2,3,1,0,0,40,15,0
265,37,3,257295,3,10,0,9,2,4,1,0,0,75,30,1
266,19,8,218956,3,10,2,14,5,3,1,0,0,24,5,0
267,64,1,21174,10,9,0,9,2,3,1,0,0,40,15,1
268,33,1,185480,8,13,2,11,1,3,0,0,0,45,15,0
269,33,1,222205,10,9,0,5,4,3,0,0,0,40,15,1
270,61,1,69867,10,9,0,9,2,3,1,0,0,40,15,1
271,17,1,191260,2,5,2,2,5,3,1,1055,0,24,15,0
272,50,5,30653,1,14,0,7,2,3,1,2407,0,98,15,0
273,27,0,209109,1,14,2,11,5,3,1,0,0,35,15,0
274,30,1,70377,10,9,3,11,5,3,0,0,0,40,15,0
275,43,1,477983,10,9,0,13,2,0,1,0,0,40,15,0
276,44,1,170924,3,10,0,5,2,3,1,7298,0,40,15,1
277,35,1,190174,3,10,2,9,1,3,0,0,0,40,15,0
278,25,1,193787,3,10,2,0,5,3,0,0,0,40,15,0
279,24,1,279472,3,10,0,12,4,3,0,7298,0,48,15,1
280,22,1,34918,8,13,2,11,1,3,0,0,0,15,13,0
281,42,0,97688,3,10,0,5,2,3,1,5178,0,40,15,1
282,34,1,175413,4,12,3,10,3,0,0,0,0,45,15,0
283,60,1,173960,8,13,3,11,1,3,0,0,0,42,15,0
284,21,1,205759,10,9,2,13,5,3,1,0,0,40,15,0
285,57,2,425161,1,14,0,10,2,3,1,15024,0,40,15,1
286,41,1,220531,11,15,0,11,2,3,1,0,0,60,15,1
287,50,1,176609,3,10,3,2,1,3,1,0,0,45,15,0
288,25,1,371987,8,13,2,9,1,3,0,0,0,40,15,0
289,50,1,193884,15,4,0,5,2,3,1,0,0,40,39,0
290,36,1,200352,8,13,0,11,2,3,1,0,0,45,15,0
291,31,1,127595,10,9,3,11,1,3,0,0,0,40,15,0
292,29,0,220419,8,13,2,6,1,3,1,0,0,56,15,0
293,21,1,231931,3,10,2,10,5,3,1,0,0,45,15,0
294,27,1,248402,8,13,2,0,3,0,0,0,0,40,15,0
295,65,1,111095,10,9,0,1,2,3,1,0,0,16,15,0
296,37,3,57424,8,13,3,10,1,3,0,0,0,60,15,0
297,39,8,157443,1,14,0,14,4,4,0,3464,0,40,25,0
298,24,1,278130,10,9,2,5,5,3,1,0,0,40,15,0
299,38,1,169469,10,9,3,10,1,3,1,0,0,80,15,0
300,48,1,146268,8,13,0,3,2,3,1,7688,0,40,15,1
301,21,1,153718,3,10,2,2,1,4,0,0,0,25,15,0
302,31,1,217460,10,9,0,1,2,3,1,0,0,45,15,1
303,55,1,238638,10,9,0,10,2,3,1,4386,0,40,15,1
304,24,1,303296,3,10,0,3,4,4,0,0,0,40,37,0
305,43,1,173321,10,9,3,3,1,3,0,0,0,40,15,0
306,26,1,193945,4,12,2,0,1,3,1,0,0,45,15,0
307,46,1,83082,4,12,2,11,1,3,0,0,0,33,15,0
308,35,1,193815,4,12,0,3,2,3,1,0,0,40,15,1
309,41,3,34987,3,10,0,7,2,3,1,0,0,54,15,1
310,26,1,59306,8,13,2,10,1,3,1,0,0,40,15,0
311,34,1,142897,1,14,0,9,2,4,1,7298,0,35,21,1
312,19,8,860348,3,10,2,14,5,0,0,0,0,25,15,0
313,36,5,205607,8,13,3,11,1,0,0,0,0,40,15,1
314,22,1,199698,3,10,2,10,5,3,1,0,0,15,15,0
315,24,1,191954,3,10,2,12,1,3,1,0,0,40,15,0
316,77,5,138714,3,10,0,10,2,3,1,0,0,40,15,0
317,22,1,399087,9,3,0,12,0,3,0,0,0,40,41,0
318,29,1,423158,3,10,2,0,1,3,0,0,0,40,15,0
319,62,1,159841,10,9,5,2,1,3,0,0,0,24,15,0
320,39,5,174308,10,9,0,9,2,3,1,0,0,40,15,0
321,43,1,50356,3,10,0,5,2,3,1,0,1485,50,15,0
322,35,1,186110,10,9,3,1,1,3,1,0,0,45,15,0
323,29,1,200381,13,7,2,9,1,3,0,0,0,40,15,0
324,76,5,174309,1,14,0,5,2,3,1,0,0,10,15,0
325,63,5,78383,10,9,0,7,2,3,1,0,0,45,15,0
326,23,8,211601,5,11,2,14,5,0,0,0,0,15,15,0
327,43,1,187728,3,10,0,11,4,3,0,0,1887,50,15,1
328,58,5,321171,10,9,0,13,2,3,1,0,0,40,15,0
329,66,1,127921,10,9,2,1,1,3,1,2050,0,55,15,0
330,41,1,206565,3,10,2,5,1,0,1,0,0,45,15,0
331,26,1,224563,8,13,2,3,1,3,1,0,0,40,15,0
332,47,1,178686,5,11,2,2,1,3,1,0,0,40,15,0
333,55,0,98545,14,6,0,3,2,3,1,0,0,40,15,0
334,53,1,242606,10,9,0,1,2,3,1,0,0,40,15,0
335,17,1,270942,9,3,2,2,0,3,1,0,0,48,41,0
336,30,1,94235,10,9,2,5,0,3,1,0,0,40,15,0
337,49,1,71195,1,14,2,11,1,3,1,0,0,60,15,0
338,19,1,104112,10,9,2,10,3,0,1,0,0,30,31,0
339,45,1,261192,10,9,0,2,2,0,1,0,0,40,15,0
340,26,1,94936,4,12,2,10,1,3,1,0,0,40,15,0
341,38,1,296478,5,11,0,5,2,3,1,7298,0,40,15,1
342,36,6,119272,10,9,0,6,2,3,1,7298,0,40,15,1
343,33,1,85043,10,9,2,7,1,3,1,0,0,20,15,0
344,22,6,293364,3,10,2,6,5,0,0,0,0,40,15,0
345,43,5,241895,8,13,2,10,1,3,1,0,0,42,15,0
346,67,8,36135,13,7,0,14,2,3,1,0,0,8,15,0
347,30,8,151989,5,11,3,14,3,3,0,0,0,40,15,0
348,56,1,101128,4,12,6,2,1,3,1,0,0,25,23,0
349,31,1,156464,8,13,2,11,5,3,1,0,0,25,15,0
350,33,1,117963,8,13,0,9,2,3,1,0,0,40,15,1
351,26,1,192262,10,9,0,2,2,3,1,0,0,40,15,0
352,33,1,111363,8,13,0,9,2,3,1,0,0,40,15,1
353,46,0,329752,13,7,0,1,2,3,1,0,0,30,15,0
354,59,8,372020,8,13,0,14,2,3,1,0,0,40,15,1
355,38,2,95432,10,9,0,3,2,3,1,0,0,40,15,1
356,65,1,161400,13,7,5,2,3,1,1,0,0,40,15,0
357,40,1,96129,5,11,0,0,2,3,1,0,0,40,15,1
358,42,1,111949,10,9,0,3,4,3,0,0,0,35,15,0
359,26,5,117125,2,5,0,5,2,3,1,0,0,40,40,0
360,36,1,348022,14,6,0,2,4,3,0,0,0,24,15,0
361,62,1,270092,1,14,0,11,2,3,1,0,0,40,15,1
362,43,1,180609,8,13,0,1,2,3,1,0,0,45,15,0
363,43,1,174575,8,13,3,9,1,3,1,0,1564,45,15,1
364,22,1,410439,10,9,6,10,1,3,1,0,0,55,15,0
365,28,1,92262,10,9,0,5,2,3,1,0,0,40,15,0
366,56,5,183081,3,10,0,10,2,3,1,0,0,45,15,0
367,22,1,362589,4,12,2,10,1,3,0,0,0,15,15,0
368,57,1,212448,8,13,3,9,1,3,0,0,0,45,15,1
369,39,1,481060,10,9,3,10,3,3,0,0,0,40,15,0
370,26,2,185885,3,10,2,3,3,3,0,0,0,15,15,0
371,17,1,89821,13,7,2,2,5,3,1,0,0,10,15,0
372,40,6,184018,5,11,0,12,2,3,1,0,0,38,15,1
373,45,1,256649,10,9,0,12,2,0,1,0,0,40,15,0
374,44,1,160323,10,9,2,5,1,0,1,0,0,40,15,0
375,20,0,350845,3,10,2,3,5,3,0,0,0,10,15,0
376,33,1,267404,10,9,0,5,4,3,0,0,0,40,15,0
377,23,1,35633,3,10,2,10,1,3,1,0,0,40,15,0
378,46,5,80914,1,14,3,9,1,3,1,0,0,30,15,0
379,38,1,172927,10,9,0,10,2,3,1,0,0,50,15,0
380,54,1,174319,10,9,3,1,1,3,1,0,0,40,15,0
381,46,1,214955,9,3,3,5,1,3,0,0,2339,45,15,0
382,25,1,344991,3,10,0,5,2,3,1,0,0,40,15,0
383,46,1,108699,3,10,3,10,1,3,0,0,0,40,15,0
384,36,0,117312,3,10,0,1,4,3,0,0,0,40,15,0
385,23,1,396099,10,9,2,2,1,3,0,0,0,25,15,0
386,29,1,134152,10,9,4,12,1,3,1,0,0,40,15,0
387,44,1,162028,3,10,0,3,4,3,0,0,2415,6,15,1
388,19,1,25429,3,10,2,3,5,3,0,0,0,16,15,0
389,19,1,232392,10,9,2,2,0,3,0,0,0,40,15,0
390,35,1,220098,10,9,0,2,4,3,0,0,0,40,15,1
391,27,1,301302,8,13,2,5,1,3,1,0,0,50,15,0
392,46,5,277946,4,12,4,5,1,3,1,0,0,40,15,0
393,34,6,98101,8,13,0,9,2,3,1,7688,0,45,25,1
394,34,1,196164,10,9,2,2,1,3,0,0,0,35,15,0
395,44,1,115562,3,10,0,0,2,3,1,0,0,40,15,0
396,45,1,96975,3,10,3,13,3,3,0,0,0,40,15,0
397,20,8,137300,10,9,2,14,0,3,0,0,0,35,15,0
398,25,1,86872,8,13,0,9,2,3,1,0,0,55,15,1
399,52,3,132178,8,13,0,9,2,3,1,0,0,50,15,1
400,20,1,416103,3,10,2,13,5,3,1,0,0,40,15,0
401,28,1,108574,3,10,2,2,1,3,0,0,0,40,15,0
402,50,6,288353,8,13,0,6,2,3,1,0,0,40,15,1
403,34,1,227689,5,11,3,0,1,3,0,0,0,64,15,0
404,28,1,166481,15,4,0,13,2,1,1,0,2179,40,0,0
405,41,1,445382,1,14,0,9,2,3,1,0,1977,65,15,1
406,28,1,110145,10,9,0,3,2,3,1,0,0,40,15,0
407,46,5,317253,10,9,0,5,2,3,1,0,0,25,15,0
408,28,8,123147,3,10,0,14,4,3,0,0,1887,40,15,1
409,32,1,364657,3,10,0,9,2,3,1,0,0,50,15,0
410,41,0,42346,3,10,3,2,1,0,0,0,0,24,15,0
411,24,1,241951,10,9,2,13,3,0,0,0,0,40,15,0
412,33,1,118500,3,10,3,9,3,3,0,0,0,40,15,0
413,46,1,188386,6,16,0,9,2,3,1,15024,0,60,15,1
414,31,6,1033222,3,10,0,12,2,3,1,0,0,40,15,0
415,35,1,92440,12,8,3,5,1,3,1,0,0,50,15,1
416,52,1,190762,0,2,0,12,2,3,1,0,0,40,41,0
417,30,1,426017,13,7,2,2,5,3,0,0,0,19,15,0
